"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2022 UZ4)","2022-Oct-15 01:02 ±    00:43","4467766","4438648","3.36","3.33","28.0","6.7 m -   15 m","0"
"(2022 UF)","2022-Oct-15 06:20 ± < 00:01","827240","826520","11.16","11.12","27.2","9.7 m -   22 m","0"
"(2022 TM2)","2022-Oct-15 09:18 ± < 00:01","210194","210166","15.48","15.36","25.2","24 m -   53 m","2"
"(2022 SY10)","2022-Oct-15 12:40 ± < 00:01","2465400","2464343","3.24","3.19","26.9","11 m -   25 m","0"
"(2022 SK48)","2022-Oct-15 14:58 ± < 00:01","6792654","6787813","10.25","10.24","24.0","42 m -   95 m","0"
"(2022 UD)","2022-Oct-15 21:13 ± < 00:01","618097","617629","11.03","10.97","27.2","9.7 m -   22 m","0"
"(2022 UM13)","2022-Oct-15 22:07 ±    01:26","1329144","1305703","6.10","6.05","29.4","3.4 m -  7.7 m","0"
"(2020 TO2)","2022-Oct-15 23:03 ± 4_12:04","535858","483767","12.58","12.52","26.4","14 m -   31 m","1"
"(2020 BD)","2022-Oct-16 01:14 ± 9_12:35","4628156","4592950","11.40","11.39","26.3","15 m -   33 m","0"
"(2022 UU)","2022-Oct-16 10:03 ± < 00:01","2088020","2083345","13.78","13.76","26.1","16 m -   36 m","0"
"(2022 SK15)","2022-Oct-16 16:12 ± < 00:01","3629701","3625902","15.81","15.81","23.8","46 m -  100 m","0"
"(2022 UY123)","2022-Oct-16 19:39 ± < 00:01","267898","263108","8.71","8.54","30.6","2.1 m -  4.6 m","0"
"(2022 UG3)","2022-Oct-16 22:27 ± < 00:01","64644","64615","15.52","15.12","29.3","3.6 m -  8.1 m","1"
"(2022 UP6)","2022-Oct-16 23:08 ±    00:24","898116","885135","9.31","9.26","28.2","6.1 m -   14 m","0"
"(2022 UO)","2022-Oct-17 08:48 ±    00:23","6410283","6333417","15.50","15.50","26.5","13 m -   29 m","0"
"(2022 UP14)","2022-Oct-17 08:50 ±    00:01","5565589","5458133","23.09","23.09","24.4","35 m -   79 m","0"
"(2022 WC3)","2022-Oct-17 09:10 ±    01:20","5480402","5413690","5.02","5.00","24.8","30 m -   67 m","0"
